recno,SpType,SpTnum,r-i,e_r-i,i-z,e_i-z,z-J,e_z-J,i-J,e_i-J,JMAG
1,M0,0.0,0.91,0.24,0.49,0.06,1.42,0.5,1.93,0.5,6.45
2,M1,1.0,0.99,0.28,0.5,0.29,1.25,0.08,1.78,0.1,6.72
3,M2,2.0,1.09,0.26,0.62,0.17,1.36,0.18,1.94,0.2,6.98
4,M3,3.0,1.29,0.32,0.73,0.24,1.38,0.12,2.08,0.13,7.24
5,M4,4.0,1.57,0.33,0.87,0.32,1.52,0.13,2.39,0.17,8.34
6,M5,5.0,1.98,0.25,1.09,0.13,1.65,0.09,2.72,0.13,9.44
7,M6,6.0,2.27,0.19,1.27,0.14,1.74,0.08,2.99,0.19,10.18
8,M7,7.0,2.67,0.22,1.52,0.11,1.95,0.16,3.47,0.24,10.92
9,M8,8.0,2.82,0.28,1.62,0.11,2.04,0.12,3.72,0.19,11.14
10,M9,9.0,2.89,0.44,1.79,0.2,2.23,0.14,4.09,0.28,11.43
11,L0,10.0,2.64,0.25,1.85,0.11,2.36,0.14,4.23,0.19,11.72
12,L1,11.0,2.56,0.27,1.92,0.08,2.52,0.08,4.45,0.08,12.0
13,L2,12.0,2.5,0.47,1.85,0.09,2.76,0.36,4.64,0.45,12.29
14,L3,13.0,2.34,0.39,2.0,0.24,2.71,0.19,4.84,0.5,12.58
15,L4,14.0,2.38,0.27,2.26,0.13,2.8,0.08,5.06,0.18,12.87
16,L5,15.0,2.0,0.4,2.47,0.12,2.74,0.23,5.21,0.32,13.16
17,L6,16.0,2.79,0.69,2.4,0.19,2.86,0.15,5.27,0.2,14.31
18,L7,17.0,2.31,0.5,2.98,0.5,2.93,0.5,5.91,0.5,14.45
19,L8,18.0,2.19,0.91,3.15,0.32,2.93,0.02,6.11,0.47,14.58
20,L9,19.0,2.33,0.5,3.18,0.5,2.86,0.5,6.04,0.5,14.72
21,T0,20.0,2.43,0.5,2.88,0.5,2.88,0.5,5.76,0.5,14.86
22,T1,21.0,1.47,0.5,3.39,0.5,3.2,0.5,6.59,0.5,14.99
23,T2,22.0,1.8,0.5,4.25,0.5,3.13,0.5,7.38,0.5,15.13
24,T3,23.0,1.16,0.33,3.48,0.56,3.27,0.31,6.75,0.87,15.27
25,T4,24.0,1.04,0.52,3.82,2.02,3.53,0.06,7.35,2.09,15.4
26,T5,25.0,,,,,,,,,15.54
27,T6,26.0,1.96,0.96,4.0,0.33,3.49,0.06,7.49,0.33,15.68
