FilterID,Wavelength,Obs.Flux,Obs.Error,Flux,Error,FluxMod,Fitted,Excess,FitExc,UpLim
TYCHO/TYCHO.B,4280.0,1.7596777E-13,1.1507134E-14,1.7596777E-13,1.1507134E-14,2.3277785E-13,1,0,,
Misc/UCAC.B,4297.169,2.3202515E-13,4.2740613E-15,2.3202515E-13,4.2740613E-15,2.7862448E-13,1,0,,
Misc/UCAC.sdss_g,4640.42,3.2880046E-13,3.028364E-14,3.2880046E-13,3.028364E-14,3.9366985E-13,1,0,,
GAIA/GAIA0.Gbp,5044.3657,4.72103E-13,1.347951E-15,4.72103E-13,1.347951E-15,4.856455E-13,1,0,,
Misc/UCAC.V,5394.2915,5.4369606E-13,2.0030503E-14,5.4369606E-13,2.0030503E-14,5.436714E-13,1,0,,
GAIA/GAIA0.G,5857.555,7.5015645E-13,5.527357E-16,7.5015645E-13,5.527357E-16,7.4635523E-13,1,0,,
Misc/UCAC.sdss_r,6122.3296,6.814179E-13,1.2552181E-14,6.814179E-13,1.2552181E-14,6.1429274E-13,1,0,,
Misc/UCAC.sdss_i,7439.49,1.0552626E-12,1.9438657E-14,1.0552626E-12,1.9438657E-14,9.589641E-13,1,0,,
GAIA/GAIA0.Grp,7692.1694,9.185719E-13,3.1303329E-15,9.185719E-13,3.1303329E-15,9.602621E-13,1,0,,
2MASS/2MASS.J,12350.0,7.702036E-13,1.4187676E-14,7.702036E-13,1.4187676E-14,7.7314126E-13,1,0,,
2MASS/2MASS.H,16620.0,4.9502817E-13,8.20688E-15,4.9502817E-13,8.20688E-15,5.079175E-13,1,0,,
2MASS/2MASS.Ks,21590.0,2.2727312E-13,4.395852E-15,2.2727312E-13,4.395852E-15,2.2776076E-13,1,0,,
WISE/WISE.W1,33526.0,4.49453E-14,5.257311E-15,4.49453E-14,5.257311E-15,4.8684245E-14,1,0,,
WISE/WISE.W2,46028.0,1.683128E-14,8.371178E-16,1.683128E-14,8.371178E-16,1.5560456E-14,1,0,,
WISE/WISE.W3,115608.0,4.061824E-16,5.237509E-18,4.061824E-16,5.237509E-18,4.6877863E-16,1,0,,
WISE/WISE.W4,220883.0,3.4540316E-17,1.1770739E-18,3.4540316E-17,1.1770739E-18,3.7708994E-17,1,0,,
